Country/Region,Lat,Long,Confirmed,Deaths,IFR
Cote d'Ivoire,603.2000000000002,-443.76800000000003,4103,25,0.6093102607847917
Croatia,3607.9999999999955,1216.0000000000018,18532,178,0.9605007554500323
Cuba,1760.0,-6400.0,4624,122,2.63840830449827
Cyprus,2810.112000000005,2674.392000000004,6677,138,2.0667964654785083
Czechia,3985.4000000000065,1237.8399999999983,72952,868,1.1898234455532404
Denmark,15189.071999999944,-3201.143999999996,79948,2340,2.9269024866163007
Diamond Princess,0.0,0.0,39164,379,0.9677254621591257
Djibouti,946.0080000000011,3407.2239999999965,956,1,0.10460251046025104
Dominica,1233.1999999999987,-4909.680000000006,219,0,0.0
Dominican Republic,1498.8559999999977,-5613.015999999994,24389,1091,4.473328139735126
Ecuador,-146.49599999999984,-6254.671999999993,56929,2326,4.085791073091043
Egypt,2080.0,2400.0,19853,1198,6.034352490807435
El Salvador,1103.5360000000016,-7111.719999999992,853,37,4.337631887456038
Equatorial Guinea,120.0,800.0,294,0,0.0
Eritrea,1214.3519999999992,3182.5839999999976,344,0,0.0
Estonia,4687.623999999997,2001.088,17994,182,1.0114482605312882
Eswatini,-2121.800000000002,2517.272,176,0,0.0
Ethiopia,731.5999999999992,3239.176000000004,649,13,2.0030816640986133
Fiji,-1417.0720000000013,14245.200000000008,165,0,0.0
Finland,5120.0,2080.0,34152,369,1.0804638088545326
France,7308.991999999977,4777.536000000024,1346012,108576,8.066495692460395
Gabon,-64.29599999999995,928.7520000000015,364,22,6.043956043956044
Gambia,1075.4560000000013,-1224.8079999999998,75,19,25.333333333333332
Georgia,3385.2319999999972,3468.5520000000074,3049,17,0.5575598556903902
Germany,4080.0,720.0,1603483,21755,1.35673405954413
Ghana,635.7200000000009,-81.85600000000011,3739,91,2.4338058304359453
Greece,3125.936000000001,1745.9439999999997,30826,1068,3.4646077986115618
Grenada,969.3199999999985,-4934.320000000005,169,0,0.0
Guatemala,1262.68,-7218.464000000006,1046,38,3.632887189292543
Guinea,795.6480000000008,-775.7279999999994,1333,0,0.0
Guinea-Bissau,944.2960000000015,-1214.4319999999987,251,0,0.0
Guyana,400.0,-4700.0,424,66,15.566037735849056
Haiti,1517.6959999999976,-5782.816000000002,324,8,2.4691358024691357
